('915684629037801472', 'lucasmtny')
('915684618891857921', 'Chainbody')
('915684210425262080', 'LegereDoll')
('915683838889680896', 'DiscipleGames')
('915683681972264960', 'shabazzpalaces')
('915682878062723072', 'jack_gumbrell')
('915682878062723072', 'rickygervais')
('915682531307085825', 'colloritz')
('915684921628397568', 'NatashaBertrand')
('915684921104125952', 'JoyAnnReid')
('915684921007632384', 'Salon')
('915684920965595137', 'Amy_Siskind')
('915684920453890050', 'ProudResister')
('915684920428658688', 'SethAbramson')
('915684920114237441', 'AylandRa')
('915684920114237441', 'SirenofBrixton')
('915684920093171712', 'molly_knight')
('915684920013488128', 'GrnEyedMandy')
('915684919795318784', 'Reuters')
('915684919648620544', 'GrantJKidney')
('915684919476662272', 'ProPublica')
('915685050762403840', 'JoyAnnReid')
('915685050498166785', 'kylegriffin1')
('915685050473164800', 'funder')
('915685050473164800', 'TheDemCoalition')
('915685050418470912', 'tonyposnanski')
('915685050389286912', 'CherokeeLair')
('915685050389286912', 'JuddLegum')
('915685050171105280', 'aedwardslevy')
('915685050137694210', 'kylegriffin1')
('915685050032652288', 'Amy_Siskind')
('915685049932156929', 'FLOTUS')
('915685049726578689', 'RoKhanna')
('915685049349165057', 'JonaR029')
('915685049349165057', 'alangub4ever')
('915685049349165057', 'JackPosobiec')
('915685049240039424', 'TomFitton')
('915685049240039424', 'JudicialWatch')
('915685048967364609', 'Sportydoodle')
('915685048967364609', 'Amy_Siskind')
('915685048728391684', 'DailyAdams')
('915685048715808768', 'DailyCaller')
('915685262755287041', 'thehill')
('915685262671454208', 'MediasetTgcom24')
('915685262520459264', 'RidingPaul')
('915685262520459264', 'LUTOXMONSTER')
('915685262394617856', 'BrettLoGiurato')
('915685262298054656', 'franceinfoplus')
('915685262298054656', 'brutofficiel')
('915685261958410240', '_Makada_')
('915685261572534272', 'mmadden90')
('915685261526347778', 'ddale8')
('915685261513777158', 'Lawrence')
('915685261471768576', 'realDonaldTrump')
('915685261471768576', 'FLOTUS')
('915685261438308354', 'tonyposnanski')
('915685396356333568', 'ProPublica')
('915685396356333568', 'IvankaTrump')
('915685396356333568', 'DonaldJTrumpJr')
('915685396117200896', 'Free_From_Trump')
('915685396092252160', 'ASlavitt')
('915685395962179584', 'r_little_finger')
('915685395962179584', 'IngrahamAngle')
('915685395962179584', 'CNN')
('915685395236519936', 'DavidCornDC')
('915685395089596416', 'ddale8')
('915685394792042498', 'dandrezner')
('915685394792042498', 'rchammond')
('915685394787729408', 'rihanna')
('915685394431270912', 'Prime_Politics')
('915685393936244736', 'WayneDupreeShow')
('915685393772638209', 'ABC')
('915685393625960449', 'ProPublica')
('915685393332408321', 'funder')
('915685393332408321', 'SpeakerRyan')
('915685393214967808', 'DRUDGE')
('915685555303862272', 'MarkWarnerVA')
('915685454703419392', 'colbertlateshow')
('915684880901705728', 'hodgman')
('915685859852275712', 'DonnaWR8')
('915685859852275712', 'realDonaldTrump')
('915685859852275712', 'fema')
('915685859852275712', 'POTUS')
('915685859143254016', 'FeministaJones')
('915685858812063745', 'CillizzaCNN')
('915685858812055553', 'HuffPost')
('915685858556223488', 'StockMonsterUSA')
('915685858346446850', 'goldengateblond')
('915685858346446850', 'MichelleObama')
('915685858304450560', 'funder')
('915685857771741184', 'yoyoha')
('915685857742528512', 'mollymcnearney')
('915685857742422019', 'krissmoha')
('915685857616646144', 'MiraSorvino')
('915685857423654912', 'TopherSpiro')
('915685949295742976', 'samstein')
('915685949295742976', 'lachlan')
('915685949295742976', 'swin24')
('915685949270405120', 'MoveOn')
('915685949215879168', 'FullFrontalSamB')
('915685949186740224', 'rolandscahill')
('915685948997877760', 'oriolmollet')
('915685948997877760', 'JuanAVazq')
('915685948997877760', 'alcaldessa_gi')
('915685948964270080', 'Amy_Siskind')
('915685948922269697', 'CNNPolitics')
('915685948847001603', 'aterkel')
('915685948771287040', 'yoyoha')
('915685948633108480', 'EdKrassen')
('915685948624646144', 'evagolinger')
('915685948624646144', 'lyciaora')
('915685948607807488', 'JoyAnnReid')
('915685948322545665', 'Impeach_D_Trump')
('915685948163104768', 'thehill')
('915685947924152320', 'washingtonpost')
('915686060188823553', 'KT_So_It_Goes')
('915686060075606016', 'latimes')
('915686060012834818', 'Amy_Siskind')
('915686059824082944', 'Carolde')
('915686059824082944', 'gigidusty')
('915686059824082944', 'mouse458')
('915686059824082944', 'POTUS')
('915686059824082944', 'Lrihendry')
('915686059824082944', 'HorseShort')
('915686059824082944', 'grammy620')
('915686059824082944', 'ericbolling')
('915686059824082944', 'NSugr7111')
('915686059824082944', 'michaelbickle')
('915686059824082944', 'Vets_4_Trump')
('915686059824082944', 'USAgaggy63')
('915686059576582144', 'MeetThePress')
('915686059576582144', 'carolelee')
('915686059396276226', 'CarpeNo90848897')
('915686059362701312', 'cabot_phillips')
('915686059245166592', 'yoyoha')
('915686058964086784', 'jimsciutto')
('915686058666233857', 'PalmerReport')
('915686058578374661', 'Lrihendry')
('915686058507034624', 'ikebarinholtz')
('915686521348296704', 'MichelleRMed')
('915686521348296704', 'jessebwatters')
('915686521319120897', 'thehill')
('915686521272799232', 'ColinKahl')
('915686521260326912', 'safetysaunge')
('915686521260326912', '9NewsAUS')
('915686521210130432', 'Hardline_Stance')
('915686520765521921', 'StockMonsterUSA')
('915686520706801664', 'AndreaChalupa')
('915686520656248832', 'funder')
('915686520509497344', 'GrantJKidney')
('915686520325120001', 'mitchellvii')
('915686519909711872', 'bradheath')
('915686519872081921', 'jayfonsecapr')
('915686519809208320', 'benshapiro')
('915686519649816576', 'gatewaypundit')
('915686519649816576', 'POTUS')
('915687637888856064', 'lucasmtny')
('915687950398173184', 'SXMProgress')
('915687950398173184', 'RepBonnie')
('915687950398173184', 'Deanofcomedy')
('915687950188498944', 'ABC')
('915687950112960512', 'yoyoha')
('915687949970395137', 'PrisonPlanet')
('915687949668192256', 'EmGusk')
('915687949668192256', 'arelisrhdz')
('915687949668192256', 'wpjenna')
('915687949651542016', 'LouDobbs')
('915687949651542016', 'POTUS')
('915687949651542016', 'EdRollins')
('915687949559312385', 'TCIIIyeee')
('915687949559312385', 'koonce53')
('915687949471072256', 'yoyoha')
('915687949425102848', 'rolandscahill')
('915687949307490304', 'caitoz')
('915687949278294018', 'yoyoha')
('915687949274161152', 'JudicialWatch')
('915687948879847426', 'MADBLACKTHOT')
('915687948829560833', 'StephenAtHome')
